sku;keyword;sessions;users;impressions;clicks;detail;add_from_impressions;add_from_detail;avail_01;avail_02
148936;отражающая теплоизоляция;400;285;762;8;12;0;2;;
233317;саморезы;264;241;314;0;0;0;0;;
453774;лак;2587;2002;4042;19;23;1;4;;
3887;краска акриловая;271;207;453;0;0;0;0;;
150572;пинотекс;628;420;1051;2;2;1;0;;
70055;шпатлевка;78;71;109;0;0;0;0;;
488533;водонагреватель;1193;842;2079;3;3;0;1;;
443372;полотенцесушитель электрический;185;126;463;1;1;1;0;;
161385;заглушка 1/2;164;150;188;0;0;0;0;;
48883;профиль;138;130;168;0;0;0;0;;
232087;арматура;902;788;1113;0;0;0;0;;
66864;шуруп;1039;910;1335;3;3;2;0;;
52378;шпатель резиновый;190;156;276;15;16;4;2;;
14830;краска белая;796;561;1352;14;15;0;0;;
1740;пропитка;1170;905;1785;5;7;0;0;;
268085;шифер;1329;925;1863;0;0;0;0;;
77566;радиатор;2944;2108;4790;77;83;13;3;;
487866;выключатель;186;156;219;0;0;0;0;;
41610;трубка;206;177;279;0;0;0;0;;
415316;соединитель;144;137;162;0;0;0;0;;
233255;саморезы;1467;1268;1999;0;0;2;0;;
150188;батареи;221;188;309;2;2;0;2;;
9988;обои;1080;992;1359;0;0;0;0;;
26381;профиль для плитки;247;181;352;3;3;1;0;;
146229;шарнир;202;158;265;0;0;0;0;;
480177;знак равенства;885;574;1528;0;0;0;0;;
43554;пвх труба;90;82;114;0;0;0;0;;
108223;плитка настенная;338;242;637;1;1;0;0;;
437706;пена;1159;884;1749;1;1;0;0;;
318776;плитка пвх;209;165;308;1;1;0;0;;
154895;дверь;658;557;869;1;1;0;0;;
466809;блоки;197;143;273;11;10;0;0;;
24053;тройник 1/2;183;144;281;0;0;0;0;;
443763;ровнитель пола;372;180;682;1;2;0;0;;
233250;саморез 25;173;151;238;0;0;0;0;;
10061;шпагат;445;340;549;80;85;1;15;;
148945;пена;177;157;237;0;0;0;0;;
26434;гипсокартон;863;786;1111;0;0;0;0;;
109608;диск отрезной;974;858;1355;5;5;2;0;;
55079;профиль;962;857;1107;1;1;0;0;;
484433;ремонтная смесь;193;134;303;19;16;0;0;;
5689;пропитка для дерева;280;222;441;3;4;0;0;;
73078;штукатурка;7360;5149;11592;26;27;12;2;;
452884;направляющ;16;4;18;0;0;0;0;;
8154;лакра;103;100;114;0;0;0;0;;
444261;кирпич полнотелый;1080;600;2443;0;0;0;0;;
1662;плитка керамическая;271;240;346;0;0;0;0;;
5731;двп;1703;1186;2555;0;0;0;0;;
436312;узо;511;407;804;0;0;0;0;;
50480;профл;188;151;260;0;0;0;0;;
154183;обои;301;287;348;0;0;0;0;;
313997;скорлупа;348;239;537;18;23;0;6;;
246074;антисептик для дерева;576;397;980;15;15;0;0;;
52447;кирпич;243;217;297;0;0;0;0;;
133135;двери;1137;912;1587;2;2;0;0;;
374064;экструд;259;178;445;6;6;0;0;;
209345;подложка;578;422;894;1;1;0;0;;
54076;пароизоляция;1354;918;2479;6;6;1;0;;
77743;пила;803;705;1076;3;3;0;0;;
117025;дренаж;282;263;368;0;0;0;0;;
1944;цемент;758;688;949;0;0;0;0;;
356160;лента;567;501;687;0;0;0;0;;
457841;керамзит;7260;4536;10571;332;350;170;154;;
109385;бур 10;281;238;344;1;1;1;0;;
369978;пф;127;113;199;0;0;0;0;;
87674;панель мдф;782;534;1218;6;7;0;1;;
469781;анкерный болт;289;229;395;0;0;0;0;;
478570;эмаль;88;79;101;0;0;0;0;;
50731;шамотный;175;137;288;16;16;0;2;;
56597;ондувилла;380;222;640;82;91;8;20;;
454904;технониколь;157;149;174;1;1;0;0;;
114737;леска для тримера;93;75;129;0;0;0;0;;
60467;пластиковые панели;162;96;254;4;4;0;0;;
154028;смесь;192;155;279;0;0;0;0;;
259820;ламинат;314;237;462;0;0;0;0;;
150044;эмаль для пола;259;202;432;0;0;0;0;;
133025;пропитка для дерева;207;181;300;0;0;0;0;;
159838;обои;2325;2151;2933;0;0;0;0;;
134092;газовый котел;186;132;314;5;5;1;0;;
308862;смеситель;202;186;270;1;1;0;0;;
129426;доска пола;210;166;285;0;0;0;0;;
